current_run_id,institution_name,source_id,source_name,monitoring_mode,collector_capability,attempted_this_run,skipped_this_run,skip_reason,fetched_this_run,changed_this_run,candidate_links_this_run,detail_pages_this_run,error_this_run,historical_last_success,health_status,action_required
final_readiness_20260629T133423_idempotency_clean,Adyen,REG-043,Adyen Unified Commerce,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Adyen,REG-044,Adyen Press and Media,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Revolut Business,REG-045,Revolut Business Accept Payments,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Revolut Business,REG-046,Revolut İşletme API,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Wise Business,REG-047,Wise Platform,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Wise Business,REG-048,Wise Platform API Docs,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Rekabet Kurumu,REG-049,Rekabet Kurumu Güncel,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Rekabet Kurumu,REG-050,Rekabet Kurumu Mastercard and Visa investigation,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,TCMB,REG-051,TCMB Duyurular,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,BDDK,REG-052,BDDK Duyurular,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,KAP,REG-053,KAP Bank announcements search page,,manual,False,True,manual_source,False,False,,,,,Manuel İzleme,Otomatik fetch yok.
final_readiness_20260629T133423_idempotency_clean,Türkiye Bankalar Birligi,REG-054,Türkiye Bankalar Birligi Duyurular,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,TODEB,REG-055,TODEB Duyurular,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Webrazzi,REG-056,Webrazzi Fintech,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,FinTech Istanbul,REG-057,FinTech Istanbul,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Dünya Gazetesi,REG-058,Dünya Gazetesi Finans,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Bloomberg HT,REG-059,Bloomberg HT Finans,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Anadolu Ajansı,REG-060,Anadolu Ajansı Economy,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-061,QNB Finansbank Kampanyalar,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-062,QNB Card KOBİ Ticari Kredi Kartı Kampanyaları,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-063,QNB KOBİ POS Çözümleri,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-064,QNB POS,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-065,QNB Yazar Kasa POS,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-066,QNB KOBİ Kredileri,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-067,QNB KOBİ Rahat,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,QNB Finansbank,REG-068,QNB KOBİ Ticari Kredi Kartları,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,Visa,REG-069,Visa Türkiye KOBİ Araçları,,static_scrape,False,True,not_production_ready_mvp_active_false,False,False,,,,,Prod Dışı,MVP aktifleşmeden haftalık akışa alınmaz.
final_readiness_20260629T133423_idempotency_clean,Visa,REG-070,Visa Global Newsroom,,static_scrape,True,False,,True,False,0,0,,2026-06-29T13:53:24.487098+00:00,Sağlıklı,
final_readiness_20260629T133423_idempotency_clean,Mastercard,REG-071,Mastercard EEMEA Newsroom,blocked_source_watch,browser_required,False,True,browser_required_or_blocked,False,False,,,,,Erişim Engelli,Manuel resmi kanıt + recovery watch ile izleniyor.
final_readiness_20260629T133423_idempotency_clean,Mastercard,REG-072,Mastercard EEMEA News Briefs,blocked_source_watch,browser_required,False,True,browser_required_or_blocked,False,False,,,,,Erişim Engelli,Manuel resmi kanıt + recovery watch ile izleniyor.
final_readiness_20260629T133423_idempotency_clean,Mastercard,REG-073,Mastercard EEMEA Perspectives,blocked_source_watch,browser_required,False,True,browser_required_or_blocked,False,False,,,,,Erişim Engelli,Manuel resmi kanıt + recovery watch ile izleniyor.
final_readiness_20260629T133423_idempotency_clean,BKM,REG-074,BKM Basın Bültenleri,,manual,False,True,inactive,False,False,,,,,Atlanmış,
final_readiness_20260629T133423_idempotency_clean,BKM,REG-075,BKM Haberler,,manual,False,True,inactive,False,False,,,,,Atlanmış,
final_readiness_20260629T133423_idempotency_clean,BKM,REG-076,BKM Duyurular,,manual,False,True,inactive,False,False,,,,,Atlanmış,
final_readiness_20260629T133423_idempotency_clean,TROY,REG-077,TROY Haberler,,manual,False,True,inactive,False,False,,,,,Atlanmış,
